Code,Descriptor,Year Level,Learning Area,Subject,Strand,Sub-strand,Category,Linked Achievement IDs
AC9M5M04,"estimate, construct and measure angles in degrees, using appropriate tools including a protractor, and relate these measures to angle names",Year 5,Mathematics,Mathematics,Measurement and Geometry,,,Y5-AS-09
AC9M5N01,"interpret, compare and order numbers with more than 2 decimal places, including numbers greater than one, using place value understanding; represent these on a number line",Year 5,Mathematics,Mathematics,Number and Algebra,,,Y5-AS-01
AC9M5N010,"create and use algorithms involving a sequence of steps and decisions and digital tools to experiment with factors, multiples and divisibility; identify, interpret and describe emerging patterns",Year 5,Mathematics,Mathematics,Number and Algebra,,,Y5-AS-08
AC9M5N02,"express natural numbers as products of their factors, recognise multiples and determine if one number is divisible by another",Year 5,Mathematics,Mathematics,Number and Algebra,,,Y5-AS-10
AC9M5N03,"compare and order fractions with the same and related denominators including mixed numerals, applying knowledge of factors and multiples; represent these fractions on a number line",Year 5,Mathematics,Mathematics,Number and Algebra,,,Y5-AS-13
AC9M5N04,"recognise that 100% represents the complete whole and use percentages to describe, represent and compare relative size; connect familiar percentages to their decimal and fraction equivalents",Year 5,Mathematics,Mathematics,Number and Algebra,,,Y5-AS-16
AC9M5N05,"solve problems involving addition and subtraction of fractions with the same or related denominators, using different strategies",Year 5,Mathematics,Mathematics,Number and Algebra,,,Y5-AS-13
AC9M5N06,"solve problems involving multiplication of larger numbers by one- or two-digit numbers, choosing efficient calculation strategies and using digital tools where appropriate; check the reasonableness of answers",Year 5,Mathematics,Mathematics,Number and Algebra,,,Y5-AS-19
AC9M5N07,"solve problems involving division, choosing efficient strategies and using digital tools where appropriate; interpret any remainder according to the context and express results as a whole number, decimal or fraction",Year 5,Mathematics,Mathematics,Number and Algebra,,,"Y5-AS-18, Y5-AS-19"
AC9M5N08,check and explain the reasonableness of solutions to problems including financial contexts using estimation strategies appropriate to the context,Year 5,Mathematics,Mathematics,Number and Algebra,,,Y5-AS-03
AC9M5N09,"use mathematical modelling to solve practical problems involving additive and multiplicative situations including financial contexts; formulate the problems, choosing operations and efficient calculation strategies, using digital tools where appropriate; interpret and communicate solutions in terms of the situation",Year 5,Mathematics,Mathematics,Number and Algebra,,,Y5-AS-18
AC9M5P01,list the possible outcomes of chance experiments involving equally likely outcomes and compare to those which are not equally likely,Year 5,Mathematics,Mathematics,Measurement and Geometry,,,Y5-AS-05
AC9M5P02,"conduct repeated chance experiments including those with and without equally likely outcomes, observe and record the results; use frequency to compare outcomes and estimate their likelihoods.",Year 5,Mathematics,Mathematics,Measurement and Geometry,,,Y5-AS-05
AC9M5SP01,connect objects to their nets and build objects from their nets using spatial and geometric reasoning,Year 5,Mathematics,Mathematics,Measurement and Geometry,,,Y5-AS-06
AC9M5SP02,construct a grid coordinate system that uses coordinates to locate positions within a space; use coordinates and directional language to describe position and movement,Year 5,Mathematics,Mathematics,Measurement and Geometry,,,Y5-AS-17
AC9M5SP03,"describe and perform translations, reflections and rotations of shapes, using dynamic geometric software where appropriate; recognise what changes and what remains the same, and identify any symmetries",Year 5,Mathematics,Mathematics,Measurement and Geometry,,,Y5-AS-14
AC9M5ST01,"acquire, validate and represent data for nominal and ordinal categorical and discrete numerical variables, to address a question of interest or purpose using software including spreadsheets; discuss and report on data distributions in terms of highest frequency (mode) and shape, in the context of the data",Year 5,Mathematics,Mathematics,Measurement and Geometry,,,"Y5-AS-11, Y5-AS-15"
AC9M5ST02,interpret line graphs representing change over time; discuss the relationships that are represented and conclusions that can be made,Year 5,Mathematics,Mathematics,Measurement and Geometry,,,Y5-AS-12
AC9M5ST03,plan and conduct statistical investigations by posing questions or identifying a problem and collecting relevant data; choose appropriate displays and interpret the data; communicate findings within the context of the investigation,Year 5,Mathematics,Mathematics,Measurement and Geometry,,,Y5-AS-15
AC9M6A01,recognise and use rules that generate visually growing patterns and number patterns involving rational numbers,Year 6,Mathematics,Mathematics,Measurement and Geometry,,,Y6-AS-10
AC9M6A03,"create and use algorithms involving a sequence of steps and decisions that use rules to generate sets of numbers; identify, interpret and explain emerging patterns",Year 6,Mathematics,Mathematics,Measurement and Geometry,,,Y6-AS-07
AC9M6M01,"convert between common metric units of length, mass and capacity; choose and use decimal representations of metric measurements relevant to the context of a problem",Year 6,Mathematics,Mathematics,Measurement and Geometry,,,"Y6-AS-06, Y6-AS-17"
AC9M6M02,establish the formula for the area of a rectangle and use it to solve practical problems,Year 6,Mathematics,Mathematics,Measurement and Geometry,,,Y6-AS-19
AC9M6M03,interpret and use timetables and itineraries to plan activities and determine the duration of events and journeys,Year 6,Mathematics,Mathematics,Measurement and Geometry,,,Y6-AS-12
AC9M6M04,"identify the relationships between angles on a straight line, angles at a point and vertically opposite angles; use these to determine unknown angles, communicating reasoning",Year 6,Mathematics,Mathematics,Measurement and Geometry,,,Y6-AS-19
AC9M6N01,"recognise situations, including financial contexts, that use integers; locate and represent integers on a number line and as coordinates on the Cartesian plane",Year 6,Mathematics,Mathematics,Number and Algebra,,,"Y6-AS-01, Y6-AS-13"
AC9M6N02,"identify and describe the properties of prime, composite and square numbers and use these properties to solve problems and simplify calculations",Year 6,Mathematics,Mathematics,Number and Algebra,,,Y6-AS-16
AC9M6N03,"apply knowledge of equivalence to compare, order and represent common fractions including halves, thirds and quarters on the same number line and justify their order",Year 6,Mathematics,Mathematics,Number and Algebra,,,Y6-AS-14
AC9M6N04,"apply knowledge of place value to add and subtract decimals, using digital tools where appropriate; use estimation and rounding to check the reasonableness of answers",Year 6,Mathematics,Mathematics,Number and Algebra,,,"Y6-AS-15, Y6-AS-17"
AC9M6N05,solve problems involving addition and subtraction of fractions using knowledge of equivalent fractions,Year 6,Mathematics,Mathematics,Number and Algebra,,,Y6-AS-14
AC9M6N06,"multiply and divide decimals by multiples of powers of 10 without a calculator, applying knowledge of place value and proficiency with multiplication facts; using estimation and rounding to check the reasonableness of answers",Year 6,Mathematics,Mathematics,Number and Algebra,,,"Y6-AS-15, Y6-AS-17"
AC9M6N07,"solve problems that require finding a familiar fraction, decimal or percentage of a quantity, including percentage discounts, choosing efficient calculation strategies and using digital tools where appropriate",Year 6,Mathematics,Mathematics,Number and Algebra,,,Y6-AS-15
AC9M6N08,"approximate numerical solutions to problems involving rational numbers and percentages, including financial contexts, using appropriate estimation strategies",Year 6,Mathematics,Mathematics,Number and Algebra,,,Y6-AS-15
AC9M6N09,"use mathematical modelling to solve practical problems involving natural and rational numbers and percentages, including in financial contexts; formulate the problems, choosing operations and efficient calculation strategies, and using digital tools where appropriate; interpret and communicate solutions in terms of the situation, justifying the choices made",Year 6,Mathematics,Mathematics,Number and Algebra,,,Y6-AS-18
